ROI Label,input_roi,output_roi,mapped_indices
56,17Networks_LH_LimbicB_OFC_2,7Networks_LH_Limbic_OFC_2,51
57,17Networks_LH_LimbicA_TempPole_1,7Networks_LH_Limbic_TempPole_1,52
58,17Networks_LH_LimbicA_TempPole_2,7Networks_LH_Limbic_TempPole_2,53
59,17Networks_LH_LimbicA_TempPole_3,7Networks_LH_Limbic_TempPole_3,54
60,17Networks_LH_LimbicA_TempPole_4,7Networks_LH_Limbic_TempPole_4,55
61,17Networks_LH_ContB_IPL_1,7Networks_LH_Cont_Par_1,67
62,17Networks_LH_ContA_IPS_1,7Networks_LH_Cont_Par_2,57
63,17Networks_LH_ContA_IPS_2,7Networks_LH_Cont_Par_3,58
64,17Networks_LH_ContB_Temp_1,7Networks_LH_Cont_Temp_1,66
65,17Networks_LH_DefaultB_PFCv_2,7Networks_LH_Cont_OFC_1,92
66,17Networks_LH_ContB_PFClv_1,7Networks_LH_Cont_PFCl_1,69
67,17Networks_LH_ContB_PFClv_2,7Networks_LH_Cont_PFCl_2,70
68,17Networks_LH_ContA_PFClv_1,7Networks_LH_Cont_PFCl_3,61
69,17Networks_LH_ContA_PFCl_1,7Networks_LH_Cont_PFCl_4,62
70,17Networks_LH_ContA_PFCl_3,7Networks_LH_Cont_PFCl_5,64
71,17Networks_LH_ContC_pCun_1,7Networks_LH_Cont_pCun_1,71
72,17Networks_LH_ContC_Cingp_1,7Networks_LH_Cont_Cing_1,73
73,17Networks_LH_ContA_Cingm_1,7Networks_LH_Cont_Cing_2,65
74,17Networks_LH_DefaultB_Temp_1,7Networks_LH_Default_Temp_1,82
75,17Networks_LH_DefaultB_Temp_2,7Networks_LH_Default_Temp_2,83
76,17Networks_LH_DefaultB_Temp_3,7Networks_LH_Default_Temp_3,84
77,17Networks_LH_DefaultB_Temp_4,7Networks_LH_Default_Temp_4,85
78,17Networks_LH_TempPar_1,7Networks_LH_Default_Temp_5,98
79,17Networks_LH_TempPar_2,7Networks_LH_Default_Par_1,99
80,17Networks_LH_DefaultC_IPL_1,7Networks_LH_Default_Par_2,95
81,17Networks_LH_DefaultB_IPL_1,7Networks_LH_Default_Par_3,86
82,17Networks_LH_DefaultA_IPL_1,7Networks_LH_Default_Par_4,74
83,17Networks_LH_DefaultB_PFCv_1,7Networks_LH_Default_PFC_1,91
84,17Networks_LH_DefaultA_PFCm_1,7Networks_LH_Default_PFC_2,79
85,17Networks_LH_DefaultB_PFCv_3,7Networks_LH_Default_PFC_3,93
86,17Networks_LH_DefaultA_PFCm_2,7Networks_LH_Default_PFC_4,80
87,17Networks_LH_DefaultB_PFCv_4,7Networks_LH_Default_PFC_5,94
88,17Networks_LH_DefaultA_PFCm_3,7Networks_LH_Default_PFC_6,81
89,17Networks_LH_DefaultB_PFCd_1,7Networks_LH_Default_PFC_7,87
90,17Networks_LH_SalVentAttnB_PFCmp_1,7Networks_LH_Default_PFC_8,49
91,17Networks_LH_DefaultB_PFCd_2,7Networks_LH_Default_PFC_9,88
92,17Networks_LH_DefaultB_PFCd_3,7Networks_LH_Default_PFC_10,89
93,17Networks_LH_ContB_PFCl_1,7Networks_LH_Default_PFC_11,68
94,17Networks_LH_DefaultA_PFCd_1,7Networks_LH_Default_PFC_12,75
95,17Networks_LH_DefaultB_PFCd_4,7Networks_LH_Default_PFC_13,90
96,17Networks_LH_DefaultC_Rsp_1,7Networks_LH_Default_pCunPCC_1,96
97,17Networks_LH_DefaultA_pCunPCC_1,7Networks_LH_Default_pCunPCC_2,76
98,17Networks_LH_DefaultA_pCunPCC_2,7Networks_LH_Default_pCunPCC_3,77
99,17Networks_LH_DefaultA_pCunPCC_3,7Networks_LH_Default_pCunPCC_4,78
100,17Networks_LH_DefaultC_PHC_1,7Networks_LH_Default_PHC_1,97
101,17Networks_RH_LimbicA_TempPole_4,7Networks_RH_Vis_1,163
102,17Networks_RH_DefaultC_PHC_1,7Networks_RH_Vis_2,195
103,17Networks_RH_VisCent_ExStr_1,7Networks_RH_Vis_3,100
104,17Networks_RH_VisPeri_ExStrInf_1,7Networks_RH_Vis_4,106
105,17Networks_RH_VisCent_ExStr_2,7Networks_RH_Vis_5,101
106,17Networks_RH_VisCent_Striate_1,7Networks_RH_Vis_6,102
107,17Networks_RH_VisPeri_ExStrInf_2,7Networks_RH_Vis_7,107
108,17Networks_RH_VisCent_ExStr_3,7Networks_RH_Vis_8,103
109,17Networks_RH_VisPeri_StriCal_1,7Networks_RH_Vis_9,108
110,17Networks_RH_VisPeri_ExStrSup_1,7Networks_RH_Vis_10,109
111,17Networks_RH_VisCent_ExStr_4,7Networks_RH_Vis_11,104
112,17Networks_RH_VisCent_ExStr_5,7Networks_RH_Vis_12,105
113,17Networks_RH_VisPeri_ExStrSup_2,7Networks_RH_Vis_13,110
114,17Networks_RH_VisPeri_ExStrSup_3,7Networks_RH_Vis_14,111
115,17Networks_RH_DorsAttnA_SPL_1,7Networks_RH_Vis_15,132
116,17Networks_RH_SomMotB_Aud_1,7Networks_RH_SomMot_1,123
117,17Networks_RH_SomMotB_Aud_2,7Networks_RH_SomMot_2,124
118,17Networks_RH_SomMotB_S2_1,7Networks_RH_SomMot_3,125
119,17Networks_RH_SomMotB_S2_2,7Networks_RH_SomMot_4,126
120,17Networks_RH_SomMotB_S2_3,7Networks_RH_SomMot_5,127
121,17Networks_RH_SomMotB_S2_4,7Networks_RH_SomMot_6,128
122,17Networks_RH_SomMotB_Cent_1,7Networks_RH_SomMot_7,129
123,17Networks_RH_SalVentAttnA_ParMed_1,7Networks_RH_SomMot_8,147
124,17Networks_RH_SomMotA_1,7Networks_RH_SomMot_9,112
125,17Networks_RH_SomMotA_2,7Networks_RH_SomMot_10,113
126,17Networks_RH_SomMotA_3,7Networks_RH_SomMot_11,114
127,17Networks_RH_SomMotA_4,7Networks_RH_SomMot_12,115
128,17Networks_RH_SomMotA_5,7Networks_RH_SomMot_13,116
129,17Networks_RH_SomMotA_6,7Networks_RH_SomMot_14,117
130,17Networks_RH_SomMotA_7,7Networks_RH_SomMot_15,118
131,17Networks_RH_SomMotA_8,7Networks_RH_SomMot_16,119
132,17Networks_RH_SomMotA_9,7Networks_RH_SomMot_17,120
133,17Networks_RH_SomMotA_10,7Networks_RH_SomMot_18,121
134,17Networks_RH_SomMotA_11,7Networks_RH_SomMot_19,122
135,17Networks_RH_DorsAttnA_TempOcc_1,7Networks_RH_DorsAttn_Post_1,130
136,17Networks_RH_DorsAttnA_ParOcc_1,7Networks_RH_DorsAttn_Post_2,131
137,17Networks_RH_DorsAttnB_PostC_1,7Networks_RH_DorsAttn_Post_3,136
138,17Networks_RH_ContA_IPS_2,7Networks_RH_DorsAttn_Post_4,165
139,17Networks_RH_DorsAttnB_PostC_2,7Networks_RH_DorsAttn_Post_5,137
140,17Networks_RH_DorsAttnA_SPL_2,7Networks_RH_DorsAttn_Post_6,133
141,17Networks_RH_DorsAttnA_SPL_3,7Networks_RH_DorsAttn_Post_7,134
142,17Networks_RH_DorsAttnA_SPL_4,7Networks_RH_DorsAttn_Post_8,135
143,17Networks_RH_DorsAttnB_PostC_3,7Networks_RH_DorsAttn_Post_9,138
144,17Networks_RH_DorsAttnB_PostC_4,7Networks_RH_DorsAttn_Post_10,139
145,17Networks_RH_DorsAttnB_FEF_1,7Networks_RH_DorsAttn_FEF_1,140
146,17Networks_RH_ContA_PFCd_1,7Networks_RH_DorsAttn_FEF_2,166
147,17Networks_RH_ContA_PFCl_1,7Networks_RH_DorsAttn_PrCv_1,167
148,17Networks_RH_TempPar_3,7Networks_RH_SalVentAttn_TempOccPar_1,198
149,17Networks_RH_TempPar_4,7Networks_RH_SalVentAttn_TempOccPar_2,199
150,17Networks_RH_SalVentAttnA_ParOper_1,7Networks_RH_SalVentAttn_TempOccPar_3,141
151,17Networks_RH_SalVentAttnA_PrC_1,7Networks_RH_SalVentAttn_PrC_1,142
152,17Networks_RH_SalVentAttnA_Ins_1,7Networks_RH_SalVentAttn_FrOperIns_1,143
153,17Networks_RH_SalVentAttnA_Ins_2,7Networks_RH_SalVentAttn_FrOperIns_2,144
154,17Networks_RH_SalVentAttnB_Ins_2,7Networks_RH_SalVentAttn_FrOperIns_3,154
155,17Networks_RH_SalVentAttnA_FrOper_1,7Networks_RH_SalVentAttn_FrOperIns_4,145
156,17Networks_RH_SalVentAttnA_FrMed_1,7Networks_RH_SalVentAttn_Med_1,146
157,17Networks_RH_SalVentAttnA_ParMed_2,7Networks_RH_SalVentAttn_Med_2,148
158,17Networks_RH_SalVentAttnA_FrMed_2,7Networks_RH_SalVentAttn_Med_3,149
159,17Networks_RH_LimbicB_OFC_1,7Networks_RH_Limbic_OFC_1,156
160,17Networks_RH_LimbicB_OFC_2,7Networks_RH_Limbic_OFC_2,157
161,17Networks_RH_LimbicB_OFC_4,7Networks_RH_Limbic_OFC_3,159
162,17Networks_RH_LimbicA_TempPole_1,7Networks_RH_Limbic_TempPole_1,160
163,17Networks_RH_LimbicA_TempPole_2,7Networks_RH_Limbic_TempPole_2,161
164,17Networks_RH_LimbicA_TempPole_3,7Networks_RH_Limbic_TempPole_3,162
165,17Networks_RH_SalVentAttnB_IPL_1,7Networks_RH_Cont_Par_1,150
166,17Networks_RH_ContB_IPL_2,7Networks_RH_Cont_Par_2,173
167,17Networks_RH_ContA_IPS_1,7Networks_RH_Cont_Par_3,164
168,17Networks_RH_ContB_Temp_2,7Networks_RH_Cont_Temp_1,171
169,17Networks_RH_SalVentAttnB_Ins_1,7Networks_RH_Cont_PFCv_1,153
170,17Networks_RH_ContB_PFClv_1,7Networks_RH_Cont_PFCl_1,176
171,17Networks_RH_ContB_PFClv_2,7Networks_RH_Cont_PFCl_2,177
172,17Networks_RH_SalVentAttnB_PFClv_1,7Networks_RH_Cont_PFCl_3,151
173,17Networks_RH_ContA_PFCl_2,7Networks_RH_Cont_PFCl_4,168
174,17Networks_RH_SalVentAttnB_PFCl_1,7Networks_RH_Cont_PFCl_5,152
175,17Networks_RH_ContB_PFCld_1,7Networks_RH_Cont_PFCl_6,174
176,17Networks_RH_ContB_PFCld_2,7Networks_RH_Cont_PFCl_7,175
177,17Networks_RH_ContC_pCun_1,7Networks_RH_Cont_pCun_1,180
178,17Networks_RH_ContC_Cingp_1,7Networks_RH_Cont_Cing_1,182
179,17Networks_RH_ContA_Cingm_1,7Networks_RH_Cont_Cing_2,169
180,17Networks_RH_SalVentAttnB_PFCmp_1,7Networks_RH_Cont_PFCmp_1,155
181,17Networks_RH_ContB_PFCmp_1,7Networks_RH_Cont_PFCmp_2,178
182,17Networks_RH_DefaultC_IPL_1,7Networks_RH_Default_Par_1,193
183,17Networks_RH_DefaultA_IPL_1,7Networks_RH_Default_Par_2,183
184,17Networks_RH_ContB_IPL_1,7Networks_RH_Default_Par_3,172
185,17Networks_RH_DefaultB_AntTemp_1,7Networks_RH_Default_Temp_1,190
186,17Networks_RH_ContB_Temp_1,7Networks_RH_Default_Temp_2,170
187,17Networks_RH_TempPar_1,7Networks_RH_Default_Temp_3,196
188,17Networks_RH_DefaultB_Temp_1,7Networks_RH_Default_Temp_4,189
189,17Networks_RH_TempPar_2,7Networks_RH_Default_Temp_5,197
190,17Networks_RH_DefaultB_PFCv_1,7Networks_RH_Default_PFCv_1,192
191,17Networks_RH_LimbicB_OFC_3,7Networks_RH_Default_PFCdPFCm_1,158
192,17Networks_RH_DefaultA_PFCm_1,7Networks_RH_Default_PFCdPFCm_2,186
193,17Networks_RH_DefaultA_PFCm_2,7Networks_RH_Default_PFCdPFCm_3,187
194,17Networks_RH_DefaultA_PFCm_3,7Networks_RH_Default_PFCdPFCm_4,188
195,17Networks_RH_DefaultB_PFCd_1,7Networks_RH_Default_PFCdPFCm_5,191
196,17Networks_RH_DefaultA_PFCd_1,7Networks_RH_Default_PFCdPFCm_6,184
197,17Networks_RH_ContB_PFCld_3,7Networks_RH_Default_PFCdPFCm_7,179
198,17Networks_RH_DefaultC_Rsp_1,7Networks_RH_Default_pCunPCC_1,194
199,17Networks_RH_DefaultA_pCunPCC_1,7Networks_RH_Default_pCunPCC_2,185
200,17Networks_RH_ContC_pCun_2,7Networks_RH_Default_pCunPCC_3,181
